id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1066;3329;157.96;0.0;0.0;0.0;0.0;0.0;2020;False
1067;11256;534.1;541.03;541.03;1.01;1.0;1.01;2020;False
1068;2947;139.84;0.0;0.0;0.0;0.0;0.0;2020;False
1069;5937;281.71;0.0;0.0;0.0;0.0;0.0;2020;False
1070;5013;237.87;0.0;0.0;0.0;0.0;0.0;2020;False
1071;12143;576.19;0.0;0.0;0.0;0.0;0.0;2020;False
1072;15353;728.5;0.0;0.0;0.0;0.0;0.0;2020;False
1073;111674;5298.93;3963.79;3963.79;0.75;1.0;0.75;2020;False
1074;3766;178.7;0.0;0.0;0.0;0.0;0.0;2020;False
1075;3503;166.22;0.0;0.0;0.0;0.0;0.0;2020;False
1076;10134;480.86;0.0;0.0;0.0;0.0;0.0;2020;False
1077;5078;240.95;0.0;0.0;0.0;0.0;0.0;2020;False
1078;64173;3045.01;2628.88;2628.88;0.86;1.0;0.86;2020;False
1079;1386941;65810.35;69859.16;59401.24;1.06;0.85;0.9;2020;False
1080;40897;1940.56;676.21;676.21;0.35;1.0;0.35;2020;False
1081;20207;958.82;608.1;608.1;0.63;1.0;0.63;2020;False
1082;30880;1465.26;907.56;907.56;0.62;1.0;0.62;2020;False
1083;5406;256.51;0.0;0.0;0.0;0.0;0.0;2020;False
1084;12827;608.64;325.51;325.51;0.53;1.0;0.53;2020;False
1085;1761;83.56;0.0;0.0;0.0;0.0;0.0;2020;False
1086;3472;164.75;0.0;0.0;0.0;0.0;0.0;2020;False
1087;1568;74.4;0.0;0.0;0.0;0.0;0.0;2020;False
1088;3370;159.91;0.0;0.0;0.0;0.0;0.0;2020;False
1089;19975;947.81;0.0;0.0;0.0;0.0;0.0;2020;False
1090;3167;150.27;0.0;0.0;0.0;0.0;0.0;2020;False
1091;12714;603.28;0.0;0.0;0.0;0.0;0.0;2020;False
1092;5629;267.1;0.0;0.0;0.0;0.0;0.0;2020;False
1093;14254;676.35;0.0;0.0;0.0;0.0;0.0;2020;False
1094;48087;2281.73;1904.43;1904.43;0.83;1.0;0.83;2020;False
1095;24535;1164.19;0.0;0.0;0.0;0.0;0.0;2020;False
1096;2612;123.94;0.0;0.0;0.0;0.0;0.0;2020;False
1097;28440;1349.48;762.42;762.42;0.56;1.0;0.56;2020;False
